address_id,address,city,postal_code,longitude,latitude
118,3 AV PHILIPPE DE VOLVIRE,SENS-DE-BRETAGNE,35490,-1.5359128,48.332872
119,82 RUE LOUIS ROUQUIER,LEVALLOIS-PERRET,92300,2.2881683,48.892956
121,2 CHE DE LA MERLEBRISE,MALVILLE,44260,-1.8635782,47.3606366
122,30 RUE DES LICES MAZAN,CARPENTRAS,84200,5.0487681,44.0554043
123,5 RUE ELIE-VERNET,GRENOBLE,38000,5.7357819,45.1875602
125,4 ALL DU VIEUX CEDRE,SASSENAGE,38360,5.663687444649805,45.2066404
126,36 CHE DU PETIT CASTAING,MURET,31600,1.3262332,43.4599858
127,199 RUE JOLIOT CURIE,LYON 5EME,69005,4.7978696,45.7565519
128,12 RUE DE LA CROIX VERTE,CHAVAGNE,35310,-1.7881749,48.0539088
129,1 AV GABRIEL PERI,RUEIL-MALMAISON,92500,2.1802832,48.87778
130,6 RUE GUSTAVE RICHARD,SEGRE-EN-ANJOU BLEU,49500,-0.8715571,47.6811163
131,81 RUE DU FRESCHE BLANC,NANTES,44300,-1.5541362,47.2186371
132,10 RUE DE L EGLISE,MYENNES,58440,2.93365,47.44623
133,28 RUE DES BOIS,FONTAINEBLEAU,77300,2.7015872,48.4049375
134,25 RUE GABRIEL HAYES,NOGENT LE ROTROU,28400,0.8211488,48.321809
135,40 BD GAMBETTA,SANNOIS,95110,2.2568296,48.9717267
137,15 AV MALVESIN,COURBEVOIE,92400,2.2561602,48.8953328
138,17 IMP DE LA TOUCHE,MONTSURS,53150,-0.5522215177316291,48.137962900000005
139,6 RUE DE GOND,PADOUX,88700,6.5705655,48.2807909
140,31 RUE RICHARD DE FOURNIVAL,AMIENS,80090,2.2956951,49.8941708
141,11 RUE BLANQUI,MERICOURT,62680,2.8664217,50.4015803
142,1 TRA DE LA CARRAIRE,VALENSOLE,4210,5.9839867,43.8379283
143,78 RUE DE L ECHASSIER,COGNAC,16100,-0.3250175,45.6931647
144,22 RUE DE LA MAIRIE,DANGERS,28190,1.3502382,48.5091904
145,23 RUE DE THABERT,GONNEVILLE-LE THEIL,50330,-1.4740417483216572,49.620398550000004
146,12 RTE DE VESOUL,VELESMES-ECHEVANNE,70100,5.687467656062095,47.4181066
147,9001 SQ LAFAYETTE,COMPIEGNE,60200,2.8263171,49.4179497
148,139 RUE DE L ARTISANAT,VEZELIN-SUR-LOIRE,42260,4.061534494713143,45.886004
149,95 AV STALINGRAD,ARLES,13200,4.6309653,43.6776223
150,3 AV DE LA BARMASSA,VILLEFRANCHE-SUR-MER,6230,7.309969,43.7042317
151,377 CHE DES FUMADES,SAINT-CANNAT,13760,5.296775,43.6207231
